state,county_name,office,district,candidate,column,magnitude,party,party_detailed
ALASKA,STATEWIDE,STATE HOUSE,028,"FLETCHER, BENJAMIN R.",140,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,028,"KAUFMAN, JAMES D.",141,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,028,WRITE-IN,142,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,028,UNDERVOTE?,139,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,029,"DALE, PAUL D.",144,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,029,"CARPENTER, BENJAMIN E.",143,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,029,WRITE-IN,145,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,029,UNDERVOTE?,143,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,030,"BAISDEN, JAMES",147,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,030,"GILLHAM, RONALD D. (RON)",146,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,030,WRITE-IN,148,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,030,UNDERVOTE?,146,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,031,"COOPER, KELLY",150,1,NOM,NOM
ALASKA,STATEWIDE,STATE HOUSE,031,"VANCE, SARAH L.",149,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,031,WRITE-IN,151,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,031,UNDERVOTE?,149,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,032,"STUTES, LOUISE B.",152,1,REP,REPUBLICAN
ALASKA,STATEWIDE,STATE HOUSE,032,WRITE-IN,153,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,032,UNDERVOTE?,152,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,033,"HANNAN, SARA",154,1,DEM,DEMOCRAT
ALASKA,STATEWIDE,STATE HOUSE,033,WRITE-IN,155,1,W-I,W-I
ALASKA,STATEWIDE,STATE HOUSE,033,UNDERVOTE?,154,1,,undervote
ALASKA,STATEWIDE,STATE HOUSE,034,"STORY, ANDREA ANDI",157,1,DEM,DEMOCRAT
